product,category,description,price,store
Bath Soap,Personal Care,Moisturizing bath soap,40,Ravi Mart
Shampoo,Personal Care,Hair cleaning shampoo,180,City Mart
Hair Oil,Personal Care,Nourishing hair oil,140,Sharma Store
Toothpaste,Personal Care,Fluoride toothpaste,120,Gupta Store
Toothbrush,Personal Care,Soft bristle toothbrush,40,Ravi Mart
Face Wash,Personal Care,Gentle face cleanser,160,City Mart
Body Lotion,Personal Care,Moisturizing lotion,220,Sharma Store
Sanitary Pads,Personal Care,Women hygiene pads,120,Gupta Store
Tissue Paper,Household,Soft tissue paper rolls,100,Ravi Mart
Garbage Bags,Household,Disposable garbage bags,80,City Mart
Matchbox,Household,Match sticks box,10,Sharma Store
Candles,Household,Wax candles for light,50,Gupta Store
Battery Cells,Household,AA batteries pack,120,Ravi Mart
